CMDLINE /tmp/weasyperf/bin/python -m weasyprint samples/odyssey/odyssey.html samples/odyssey/odyssey.pdf
MEM 1.550781 1581161093.8332
MEM 20.039062 1581161093.9339
MEM 28.867188 1581161094.0349
MEM 36.339844 1581161094.1359
MEM 38.199219 1581161094.2369
MEM 39.218750 1581161094.3379
MEM 39.980469 1581161094.4390
MEM 41.589844 1581161094.5399
MEM 44.113281 1581161094.6410
MEM 46.121094 1581161094.7420
MEM 48.183594 1581161094.8429
MEM 50.613281 1581161094.9440
MEM 52.832031 1581161095.0449
MEM 55.191406 1581161095.1460
MEM 57.277344 1581161095.2470
MEM 59.597656 1581161095.3479
MEM 61.593750 1581161095.4490
MEM 69.593750 1581161095.5500
MEM 77.304688 1581161095.6511
MEM 82.347656 1581161095.7519
MEM 82.597656 1581161095.8529
MEM 86.570312 1581161095.9539
MEM 87.839844 1581161096.0549
MEM 88.578125 1581161096.1559
MEM 89.093750 1581161096.2570
MEM 90.156250 1581161096.3579
MEM 91.187500 1581161096.4589
MEM 92.343750 1581161096.5599
MEM 93.375000 1581161096.6610
MEM 94.406250 1581161096.7620
MEM 95.437500 1581161096.8630
MEM 96.468750 1581161096.9639
MEM 97.609375 1581161097.0649
MEM 98.640625 1581161097.1659
MEM 99.414062 1581161097.2669
MEM 100.445312 1581161097.3680
MEM 101.476562 1581161097.4689
MEM 102.503906 1581161097.5699
MEM 103.863281 1581161097.6709
MEM 104.890625 1581161097.7719
MEM 105.921875 1581161097.8729
MEM 106.925781 1581161097.9740
MEM 107.957031 1581161098.0750
MEM 109.019531 1581161098.1759
MEM 109.792969 1581161098.2769
MEM 111.082031 1581161098.3779
MEM 112.113281 1581161098.4789
MEM 113.207031 1581161098.5800
MEM 114.238281 1581161098.6809
MEM 115.269531 1581161098.7819
MEM 116.558594 1581161098.8829
MEM 117.664062 1581161098.9839
MEM 118.691406 1581161099.0850
MEM 119.722656 1581161099.1859
MEM 120.753906 1581161099.2870
MEM 122.042969 1581161099.3879
MEM 123.214844 1581161099.4889
MEM 124.246094 1581161099.5899
MEM 125.242188 1581161099.6912
MEM 126.273438 1581161099.7919
MEM 127.351562 1581161099.8930
MEM 128.382812 1581161099.9939
MEM 129.460938 1581161100.0950
MEM 130.492188 1581161100.1959
MEM 131.523438 1581161100.2969
MEM 132.296875 1581161100.3979
MEM 133.070312 1581161100.4990
MEM 134.359375 1581161100.5999
MEM 135.390625 1581161100.7009
MEM 136.410156 1581161100.8019
MEM 137.441406 1581161100.9029
MEM 138.421875 1581161101.0039
MEM 139.707031 1581161101.1049
MEM 140.710938 1581161101.2059
MEM 141.480469 1581161101.3069
MEM 142.511719 1581161101.4079
MEM 143.785156 1581161101.5089
MEM 145.074219 1581161101.6103
MEM 145.957031 1581161101.7109
MEM 146.988281 1581161101.8120
MEM 147.992188 1581161101.9129
MEM 149.023438 1581161102.0140
MEM 150.054688 1581161102.1149
MEM 151.085938 1581161102.2160
MEM 152.117188 1581161102.3169
MEM 153.027344 1581161102.4179
MEM 154.058594 1581161102.5189
MEM 155.347656 1581161102.6199
MEM 156.378906 1581161102.7209
MEM 157.144531 1581161102.8219
MEM 158.433594 1581161102.9229
MEM 159.464844 1581161103.0239
MEM 160.753906 1581161103.1250
MEM 161.753906 1581161103.2260
MEM 163.042969 1581161103.3269
MEM 163.816406 1581161103.4279
MEM 165.105469 1581161103.5289
MEM 166.109375 1581161103.6299
MEM 167.136719 1581161103.7311
MEM 168.425781 1581161103.8319
MEM 169.457031 1581161103.9329
MEM 170.230469 1581161104.0339
MEM 171.519531 1581161104.1349
MEM 172.550781 1581161104.2359
MEM 172.808594 1581161104.3369
MEM 173.839844 1581161104.4379
MEM 174.871094 1581161104.5389
MEM 176.160156 1581161104.6399
MEM 177.191406 1581161104.7409
MEM 178.222656 1581161104.8419
MEM 179.511719 1581161104.9429
MEM 180.847656 1581161105.0439
MEM 181.621094 1581161105.1449
MEM 182.652344 1581161105.2459
MEM 183.683594 1581161105.3470
MEM 184.714844 1581161105.4479
MEM 185.746094 1581161105.5490
MEM 186.777344 1581161105.6500
MEM 187.605469 1581161105.7509
MEM 188.378906 1581161105.8520
MEM 189.410156 1581161105.9529
MEM 190.441406 1581161106.0539
MEM 191.472656 1581161106.1550
MEM 192.503906 1581161106.2559
MEM 193.535156 1581161106.3569
MEM 194.824219 1581161106.4579
MEM 195.593750 1581161106.5589
MEM 196.628906 1581161106.6599
MEM 197.660156 1581161106.7609
MEM 198.695312 1581161106.8619
MEM 199.726562 1581161106.9629
MEM 200.757812 1581161107.0639
MEM 202.042969 1581161107.1649
MEM 203.027344 1581161107.2659
MEM 204.054688 1581161107.3670
MEM 205.085938 1581161107.4679
MEM 206.097656 1581161107.5690
MEM 207.128906 1581161107.6700
MEM 208.160156 1581161107.7710
MEM 209.191406 1581161107.8720
MEM 210.382812 1581161107.9729
MEM 211.414062 1581161108.0739
MEM 212.398438 1581161108.1750
MEM 213.687500 1581161108.2759
MEM 214.718750 1581161108.3770
MEM 215.750000 1581161108.4780
MEM 216.785156 1581161108.5789
MEM 218.070312 1581161108.6799
MEM 218.917969 1581161108.7811
MEM 219.945312 1581161108.8819
MEM 221.285156 1581161108.9829
MEM 222.312500 1581161109.0839
MEM 222.828125 1581161109.1849
MEM 223.957031 1581161109.2859
MEM 224.472656 1581161109.3869
MEM 225.503906 1581161109.4879
MEM 226.535156 1581161109.5890
MEM 227.308594 1581161109.6900
MEM 228.367188 1581161109.7909
MEM 229.394531 1581161109.8921
MEM 230.421875 1581161109.9930
