CMDLINE /tmp/weasyperf/bin/python -m weasyprint samples/doc/doc.html samples/doc/doc.pdf
MEM 1.667969 1568212837.9632
MEM 24.878906 1568212838.0637
MEM 30.785156 1568212838.1647
MEM 38.035156 1568212838.2657
MEM 39.425781 1568212838.3666
MEM 40.578125 1568212838.4672
MEM 42.121094 1568212838.5677
MEM 43.894531 1568212838.6681
MEM 47.867188 1568212838.7692
MEM 52.140625 1568212838.8702
MEM 54.140625 1568212838.9711
MEM 55.140625 1568212839.0722
MEM 57.007812 1568212839.1727
MEM 56.121094 1568212839.2732
MEM 56.285156 1568212839.3742
MEM 58.035156 1568212839.4747
MEM 59.535156 1568212839.5757
MEM 59.957031 1568212839.6767
MEM 60.398438 1568212839.7777
MEM 61.683594 1568212839.8782
MEM 62.417969 1568212839.9788
MEM 63.449219 1568212840.0792
MEM 64.480469 1568212840.1802
MEM 65.511719 1568212840.2812
MEM 66.800781 1568212840.3817
MEM 68.089844 1568212840.4827
MEM 69.121094 1568212840.5837
MEM 70.250000 1568212840.6847
MEM 71.535156 1568212840.7852
MEM 72.566406 1568212840.8857
MEM 73.855469 1568212840.9862
MEM 75.367188 1568212841.0872
MEM 76.394531 1568212841.1882
MEM 77.671875 1568212841.2892
MEM 78.683594 1568212841.3902
MEM 79.972656 1568212841.4912
MEM 81.261719 1568212841.5922
MEM 82.714844 1568212841.6927
MEM 83.812500 1568212841.7937
MEM 84.792969 1568212841.8942
MEM 85.980469 1568212841.9952
MEM 87.011719 1568212842.0957
MEM 88.144531 1568212842.1962
MEM 88.894531 1568212842.2972
MEM 89.878906 1568212842.3982
MEM 90.906250 1568212842.4989
MEM 91.937500 1568212842.5992
MEM 92.968750 1568212842.7002
MEM 94.000000 1568212842.8011
MEM 97.804688 1568212842.9022
MEM 105.566406 1568212843.0032
MEM 112.785156 1568212843.1042
MEM 117.414062 1568212843.2052
MEM 119.363281 1568212843.3062
MEM 120.652344 1568212843.4072
MEM 120.890625 1568212843.5081
MEM 127.414062 1568212843.6092
MEM 129.195312 1568212843.7097
MEM 130.222656 1568212843.8107
MEM 131.839844 1568212843.9112
MEM 133.125000 1568212844.0122
MEM 134.410156 1568212844.1131
MEM 135.441406 1568212844.2137
MEM 136.957031 1568212844.3142
MEM 138.304688 1568212844.4152
MEM 139.593750 1568212844.5162
MEM 140.882812 1568212844.6172
MEM 142.171875 1568212844.7177
MEM 142.945312 1568212844.8181
MEM 143.972656 1568212844.9192
MEM 144.746094 1568212845.0197
MEM 146.234375 1568212845.1202
MEM 147.691406 1568212845.2212
MEM 148.207031 1568212845.3222
MEM 148.722656 1568212845.4232
MEM 149.238281 1568212845.5237
MEM 149.753906 1568212845.6242
MEM 150.527344 1568212845.7251
MEM 151.042969 1568212845.8262
MEM 152.074219 1568212845.9272
MEM 153.363281 1568212846.0282
MEM 153.878906 1568212846.1292
MEM 154.394531 1568212846.2302
MEM 155.425781 1568212846.3307
MEM 156.199219 1568212846.4317
MEM 157.230469 1568212846.5322
MEM 158.261719 1568212846.6326
MEM 159.292969 1568212846.7332
MEM 160.984375 1568212846.8342
MEM 162.601562 1568212846.9351
MEM 163.625000 1568212847.0362
MEM 165.171875 1568212847.1372
MEM 166.203125 1568212847.2377
MEM 167.480469 1568212847.3382
MEM 168.757812 1568212847.4391
MEM 170.042969 1568212847.5402
MEM 171.074219 1568212847.6412
MEM 172.343750 1568212847.7422
MEM 173.632812 1568212847.8432
MEM 174.664062 1568212847.9442
MEM 175.968750 1568212848.0452
MEM 177.000000 1568212848.1457
MEM 178.347656 1568212848.2468
MEM 179.636719 1568212848.3477
MEM 180.925781 1568212848.4487
MEM 181.957031 1568212848.5497
MEM 183.531250 1568212848.6502
MEM 184.636719 1568212848.7507
MEM 185.906250 1568212848.8512
MEM 186.406250 1568212848.9517
MEM 187.910156 1568212849.0527
MEM 189.910156 1568212849.1537
MEM 191.660156 1568212849.2547
MEM 191.757812 1568212849.3557
MEM 191.757812 1568212849.4561
MEM 191.757812 1568212849.5572
MEM 191.757812 1568212849.6582
MEM 191.757812 1568212849.7587
MEM 192.417969 1568212849.8592
MEM 192.375000 1568212849.9602
MEM 192.257812 1568212850.0607
MEM 192.679688 1568212850.1617
MEM 192.679688 1568212850.2627
MEM 192.679688 1568212850.3637
MEM 192.648438 1568212850.4642
MEM 192.648438 1568212850.5647
MEM 192.648438 1568212850.6660
MEM 192.648438 1568212850.7669
MEM 192.648438 1568212850.8682
MEM 192.648438 1568212850.9687
MEM 193.078125 1568212851.0697
MEM 193.078125 1568212851.1707
MEM 193.078125 1568212851.2712
MEM 193.078125 1568212851.3722
MEM 193.078125 1568212851.4731
MEM 193.335938 1568212851.5742
MEM 196.402344 1568212851.6752
MEM 196.863281 1568212851.7757
MEM 194.441406 1568212851.8762
